index1,name,coef,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,0.1717,3706.4344,0.0,,
1,sp500_1yr_isnull,0.0,,,,
2,sp500_2yr_t,0.0028,1729.6989,0.0,,
3,sp500_2yr_isnull,0.0,,,,
4,sp500_3yr_t,0.1776,1636.9371,0.0,,
5,sp500_3yr_isnull,0.0,,,,
6,sp500_4yr_t,0.2677,509.8829,0.0,,
7,sp500_4yr_isnull,0.0,,,,
8,sp500_5yr_t,0.1635,596.7964,0.0,,
9,sp500_5yr_isnull,0.0,,,,
10,sp500_6yr_t,0.0015,507.4595,0.0,,
11,sp500_6yr_isnull,0.0,,,,
12,sp500_7yr_t,0.0084,822.0922,0.0,,
13,sp500_7yr_isnull,0.0,,,,
14,sp500_8yr_t,0.0016,1850.1975,0.0,,
15,sp500_8yr_isnull,0.0,,,,
16,sp500_9yr_t,0.0086,5673.7595,0.0,,
17,sp500_9yr_isnull,0.0,,,,
18,sp500_10yr_t,0.0869,6993.3939,0.0,,
19,sp500_10yr_isnull,0.0,,,,
20,sp500_11yr_t,0.0847,2090.6667,0.0,,
21,sp500_11yr_isnull,0.0,,,,
22,sp500_12yr_t,0.0249,979.545,0.0,,
23,sp500_12yr_isnull,0.0,,,,
