index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,2129.9533,0.0,,
1,sp500_1yr_isnull,,,,
2,sp500_2yr_t,949.202,0.0,,
3,sp500_2yr_isnull,,,,
4,sp500_3yr_t,919.4525,0.0,,
5,sp500_3yr_isnull,,,,
6,sp500_4yr_t,288.1976,0.0,,
7,sp500_4yr_isnull,,,,
8,sp500_5yr_t,345.6426,0.0,,
9,sp500_5yr_isnull,,,,
10,sp500_6yr_t,295.5343,0.0,,
11,sp500_6yr_isnull,,,,
12,sp500_7yr_t,480.4657,0.0,,
13,sp500_7yr_isnull,,,,
14,sp500_8yr_t,1071.7027,0.0,,
15,sp500_8yr_isnull,,,,
16,sp500_9yr_t,3701.729,0.0,,
17,sp500_9yr_isnull,,,,
18,sp500_10yr_t,4502.6915,0.0,,
19,sp500_10yr_isnull,,,,
20,sp500_11yr_t,1312.5803,0.0,,
21,sp500_11yr_isnull,,,,
22,sp500_12yr_t,602.7681,0.0,,
23,sp500_12yr_isnull,,,,
