index1,name,coefs,coef_expit,coef_exp,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
0,sp500_1yr_t,0.8075,0.6916,2.2422,3719.0971,0.0,,
1,sp500_1yr_isnull,0.0,0.5,1.0,,,,
2,sp500_2yr_t,0.008,0.502,1.0081,1760.9364,0.0,,
3,sp500_2yr_isnull,0.0,0.5,1.0,,,,
4,sp500_3yr_t,-0.1984,0.4506,0.82,1699.8526,0.0,,
5,sp500_3yr_isnull,0.0,0.5,1.0,,,,
6,sp500_4yr_t,-0.0414,0.4897,0.9595,1649.0414,0.0,,
7,sp500_4yr_isnull,0.0,0.5,1.0,,,,
8,sp500_5yr_t,-0.2247,0.4441,0.7988,711.6134,0.0,,
9,sp500_5yr_isnull,0.0,0.5,1.0,,,,
10,sp500_6yr_t,0.4068,0.6003,1.502,551.8534,0.0,,
11,sp500_6yr_isnull,0.0,0.5,1.0,,,,
12,sp500_7yr_t,0.1623,0.5405,1.1763,701.1602,0.0,,
13,sp500_7yr_isnull,0.0,0.5,1.0,,,,
14,sp500_8yr_t,0.1564,0.539,1.1693,1411.5034,0.0,,
15,sp500_8yr_isnull,0.0,0.5,1.0,,,,
16,sp500_9yr_t,-0.5187,0.3732,0.5953,6876.95,0.0,,
17,sp500_9yr_isnull,0.0,0.5,1.0,,,,
18,sp500_10yr_t,-0.1856,0.4537,0.8306,8736.6446,0.0,,
19,sp500_10yr_isnull,0.0,0.5,1.0,,,,
20,sp500_11yr_t,0.2471,0.5615,1.2803,2259.7792,0.0,,
21,sp500_11yr_isnull,0.0,0.5,1.0,,,,
22,sp500_12yr_t,0.4647,0.6141,1.5916,1129.6696,0.0,,
23,sp500_12yr_isnull,0.0,0.5,1.0,,,,
